system,dataset,repeat,MAPE,MAE,RMSE
batlik,mandelbrot.csv,19,0.04802916444876437,0.06317082314919056,0.08770988870176584
batlik,mandelbrot.csv,20,0.047617304539892526,0.06260869122014243,0.08629832089394145
batlik,mandelbrot.csv,21,0.04677145364996173,0.06270713460145473,0.08604970407832292
batlik,mandelbrot.csv,22,0.04449760826734492,0.05896769688364177,0.08240528249802755
batlik,mandelbrot.csv,23,0.043145770155630966,0.057435502159523644,0.08067792133261144
batlik,mandelbrot.csv,24,0.046509907884077745,0.062345390314647094,0.0864014791028438
batlik,mandelbrot.csv,25,0.04675449747295722,0.06089586496160579,0.0847053322631483
batlik,mandelbrot.csv,26,0.04689207254557784,0.062325957857601595,0.0856631469001649
batlik,mandelbrot.csv,27,0.048448736035983514,0.06444752171113834,0.08860063942552827
batlik,mandelbrot.csv,28,0.047760023379466415,0.06360535918026994,0.08569958775763468
batlik,mandelbrot.csv,29,0.04430397280343548,0.05927293848287987,0.08251765216009505
batlik,strawberry.csv,0,0.05527592901405046,0.09504275303046177,0.13284321775906607
batlik,strawberry.csv,1,0.05259378289081795,0.0910017298571093,0.12742779364602766
batlik,strawberry.csv,2,0.056483198103943484,0.09722417528649321,0.13563544541178893
batlik,strawberry.csv,3,0.05637727819256824,0.09559272935942374,0.1300869380969779
batlik,strawberry.csv,4,0.05554751633771015,0.09550538034755701,0.1353643960433684
batlik,strawberry.csv,5,0.05358317539167507,0.09206260767520155,0.12770595413218977
batlik,strawberry.csv,6,0.05181990264686757,0.08689941581054923,0.12111752548795764
batlik,strawberry.csv,7,0.0571852231844184,0.09753095638407053,0.13369500289294795
batlik,strawberry.csv,8,0.05279598607798717,0.09150082929752593,0.12780244264633678
batlik,strawberry.csv,9,0.05445006203489311,0.09497043028857435,0.1358687037498267
batlik,strawberry.csv,10,0.05454865002158765,0.09291936658225021,0.12962765894681494
batlik,strawberry.csv,11,0.05599027512551675,0.09681700212741368,0.13701658374792205
batlik,strawberry.csv,12,0.054213052585756136,0.09370521094666186,0.1314202733466213
batlik,strawberry.csv,13,0.0529149271609158,0.09154917405777775,0.12580057774404663
batlik,strawberry.csv,14,0.05649556759509019,0.09728827287404745,0.13896981748817408
batlik,strawberry.csv,15,0.0525083614869137,0.08911515894294263,0.12434166116982485
batlik,strawberry.csv,16,0.05628048948763495,0.09608208535497989,0.13427724341494063
